00 0.125 0 0.75 0 0 0
01 0 0 0.75 0 0 0
02 0 0 0.9 0 0 0
03 0 0 0.333333 0 0 0
04 0 0 0.333333 0 0 0
05 0 0 0.25 0 0 0.25
06 0 0 0.333333 0 0 0.166667
07 0 0 0.111111 0 0 0.333333
08 0 0 0.833333 0 0 0
09 0.111111 0 0.555556 0 0 0
10 0.142857 0 0.714286 0 0 0
11 0 0 0 0 1 0
12 0.142857 0 0.428571 0 0.428571 0
13 0 0 0.8 0 0 0
14 0 0 1 0 0 0
15 0 0 1 0 0 0
16 0.142857 0 0.857143 0 0 0
17 0 0 0.777778 0 0.222222 0
18 0 0 0.75 0 0.25 0
19 0 0 0.666667 0 0.333333 0
20 0 0 0.666667 0 0.166667 0
21 0.142857 0 0.857143 0 0 0
22 0.142857 0 0.857143 0 0 0
23 0 0 0.428571 0 0 0
